link_id,points_count,stops_computecount,sig_mean_mean,Score,name,geometry,Score_Bus,Score_Rail
cluster8_secondary_12_2,6,42,1.5714285714285714,3.2676938512111704,West Howard Avenue,"LINESTRING (-84.3047881 33.7673901, -84.3045052 33.7674885, -84.3043045021697 33.76755833148025)",3.2676938512111704,0.0
cluster8_secondary_12_4,7,93,1.6291732077446361,4.332395204596893,West Howard Avenue,"LINESTRING (-84.29957563599008 33.76902886340684, -84.2998368 33.7689494, -84.30019178950981 33.76886479437966)",4.332395204596893,0.0
cluster8_secondary_12_5,7,149,1.813543599257885,5.629141143571157,West Howard Avenue,"LINESTRING (-84.29829659104422 33.76946300436837, -84.298135 33.769518, -84.29769782334236 33.76966757334868)",5.629141143571157,0.0
cluster8_secondary_13_1,7,161,2.0815217391304346,11.284290362835462,West Ponce de Leon Avenue,"LINESTRING (-84.29696433782449 33.77558508270506, -84.2971481 33.7755842, -84.2974908 33.77558260000001, -84.2975532 33.775582299999996, -84.29761117472115 33.775582522209945)",6.615188135995995,4.669102226839467
cluster8_secondary_13_10,6,118,2.117476851851852,11.08192766123957,West Ponce de Leon Avenue,"LINESTRING (-84.29888750000002 33.7755796, -84.2989903 33.7755786, -84.2990132 33.775576699999995, -84.299049 33.77557840000001, -84.2991847 33.7755786, -84.2993287 33.775580600000005, -84.29936931261553 33.77558129370827)",6.412825434400103,4.669102226839467
cluster8_secondary_13_3,7,5,1.6964285714285714,0.9143690637429513,West Ponce de Leon Avenue,"LINESTRING (-84.306611 33.77304070000001, -84.3068634 33.772918, -84.3069811 33.7728731, -84.3070955 33.7728389, -84.30714826806607 33.7728231279954)",0.9143690637429513,0.0
cluster8_secondary_13_4,8,16,2.375,2.6092041855867607,West Ponce de Leon Avenue,"LINESTRING (-84.3058342075301 33.773702477106546, -84.3058683 33.7736555, -84.3059783 33.7735207, -84.3060599 33.77343030000001, -84.3061741 33.77332630000001, -84.3062357695364 33.773280872481415)",2.6092041855867607,0.0
cluster8_secondary_13_5,7,28,2.4375,3.9230049115581194,West Ponce de Leon Avenue,"LINESTRING (-84.30541628518573 33.77428572888501, -84.3052949 33.7744533, -84.3051013 33.774688100000006, -84.30505697479599 33.77473488517737)",3.9230049115581194,0.0
cluster8_secondary_13_6,7,28,2.4375,3.9230049115581194,West Ponce de Leon Avenue,"LINESTRING (-84.30433146584494 33.77533509884995, -84.3043727 33.775306900000004, -84.3045002 33.77522110000001, -84.304623 33.7751273, -84.3047936 33.77498969999999, -84.30481208503531 33.77497375666234)",3.9230049115581194,0.0
cluster8_secondary_13_7,5,20,2.4375,3.9230049115581194,West Ponce de Leon Avenue,"LINESTRING (-84.3039477 33.77555310000001, -84.3040416 33.775506500000006, -84.30409590000001 33.775475699999994, -84.30420120000001 33.775418699999996, -84.30430362603043 33.77535378341741)",3.9230049115581194,0.0
