,Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
2193,152028,152028,BOULDERCREST RD @ CONTINENTAL WAY,-84.31081,33.685851,Sign on Post,32,DeKalb
2194,152056,152056,BOULDERCREST RD@2151,-84.321938,33.693533,Sign on Post,32,DeKalb
2195,153007,153007,CLIFTON SPRINGS RD @ CLIFTON FARM DR,-84.282826,33.691663,Bench,34,DeKalb
2196,153008,153008,CLIFTON SPRINGS RD @ FLAT SHOALS PKWY,-84.261633,33.692477,Shelter,114,DeKalb
2197,153009,153009,CLIFTON SPRINGS RD @ CLIFTON SPRINGS MNR,-84.286671,33.692318,Sign on Post,34,DeKalb
2198,153010,153010,CLIFTON SPRINGS RD @ 3240,-84.263443,33.691669,Sign on Post,114,DeKalb
2199,153011,153011,CLIFTON SPRINGS RD @ AYLESBURY LOOP,-84.294375,33.693777,Shelter,34,DeKalb
2200,153012,153012,CLIFTON SPRINGS RD @ N LANIER PKY,-84.268253,33.690833,Sign on Post,114,DeKalb
2201,153013,153013,CLIFTON SPRINGS RD @ CORBIN AVE,-84.296715,33.697477,Sign on Post,34,DeKalb
2202,153014,153014,CLIFTON SPRINGS RD @ PANTHERSVILLE RD,-84.271171,33.69104,Sign on Post,114,DeKalb
2203,153015,153015,CLIFTON SPRINGS WAY @ CLIFTON CHURCH RD,-84.30101,33.69928,Sign on Post,34,DeKalb
2204,153016,153016,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,-84.272075,33.692115,Bench,15,DeKalb
2205,153017,153017,CLIFTON SPRINGS RD @ TARIAN DR,-84.298547,33.699189,Simme Seat,34,DeKalb
2206,153018,153018,CLIFTON SPRINGS RD @ 2946,-84.276132,33.69069,Sign on Post,34,DeKalb
2207,153019,153019,CLIFTON SPRINGS RD@CORBIN AVE,-84.29717,33.69771,Sign on Post,34,DeKalb
2208,153020,153020,PANTHERSVILLE RD @ GLEN HOLLOW DR,-84.271095,33.69693,Shelter,15,DeKalb
2209,153021,153021,CLIFTON SPRINGS RD @ AYLESBURY LOOP,-84.29413,33.69341,Shelter,34,DeKalb
2210,153022,153022,PANTHERSVILLE RD@GLEN HOLLOW DR,-84.271384,33.697262,Sign on Post,15,DeKalb
2211,153023,153023,CLIFTON SPRINGS RD @ CLIFTON SPRINGS MNR,-84.286796,33.692138,Sign on Post,34,DeKalb
2212,153024,153024,CLIFTON SPRINGS RD @ 2946,-84.2765,33.69047,Bench,34,DeKalb
2213,153026,153026,CLIFTON SPRINGS RD @ PINE HILL RD,-84.295199,33.694557,Sign on Post,34,DeKalb
2214,153027,153027,CLIFTON SPRINGS RD @ WILDCAT RD,-84.282273,33.69134,Sign on Post,34,DeKalb
2215,153028,153028,GSU/PERIMETER COLLEGE - DECATUR CAMPUS,-84.27276,33.689463,Shelter,34;34;114;114,DeKalb
2216,153030,153030,PANTHERSVILLE RD@3303,-84.272618,33.687854,Sign on Post,15,DeKalb
2217,153031,153031,PANTHERSVILLE RD@RIVER SUMMIT LN,-84.277024,33.675878,Bench,15,DeKalb
2218,153032,153032,PANTHERSVILLE RD@ROVENA CT,-84.273459,33.681472,Sign on Post,15,DeKalb
2219,153033,153033,PANTHERSVILLE RD@RIVER TREE DR,-84.276599,33.678806,Sign on Post,15,DeKalb
2220,153035,153035,PANTHERSVILLE RD@RIVER SUMMIT LN,-84.277133,33.676317,Sign on Post,15,DeKalb
2221,153036,153036,PANTHERSVILLE RD @ ROVENA CT,-84.273502,33.681347,Shelter,15,DeKalb
2222,153037,153037,PANTHERSVILLE RD@RIVER TREE DR,-84.27625,33.67927,Sign on Post,15,DeKalb
2223,153038,153038,RIVER RD@OAKVALE RD,-84.265666,33.674092,Sign on Post,15,DeKalb
2224,153040,153040,RIVER RD @ GRAY BIRCH DR,-84.264037,33.673957,Shelter,15,DeKalb
2225,153042,153042,RIVER RD@OAKVALE RD,-84.265981,33.674011,Sign on Post,15,DeKalb
2226,153044,153044,RIVER RD@CONLEY DOWNS LN,-84.263776,33.673804,Sign on Post,15,DeKalb
2227,153046,153046,RIVER RD@RIVERSIDE PKWY,-84.262386,33.673768,Sign on Post,15,DeKalb
2228,153048,153048,RIVER RD@RIVERSIDE PKWY,-84.26231,33.673839,Sign on Post,15,DeKalb
2229,153054,153054,PANTHERSVILLE RD @ 3073,-84.271553,33.694069,Shelter,15,DeKalb
2230,153056,153056,PANTHERSVILLE RD@3073,-84.271929,33.694227,Shelter,15,DeKalb
2231,153058,153058,PANTHERSVILLE RD @ CLIFTON SPRINGS RD,-84.272286,33.692092,Sign on Post,15,DeKalb
